zip_code,city,state,address_example,overall_grade,violent_crime_grade,property_crime_grade,violent_crimes_per_1000,property_crimes_per_1000,total_crimes_per_1000,cost_of_crime_per_household_usd,confidence,retrievedAtUtc
48201,Detroit,MI,2894 Maple Ave,D,F,C,12.5,49.1,61.6,627,0.84,2025-10-26T17:00:57.473ZZ
10003,New York,NY,1997 Broadway,C,F,F,12.6,47.9,60.5,604,0.85,2025-10-26T17:00:57.474ZZ
72201,Little Rock,AR,3302 Cedar St,C,D,C,12.4,31.8,44.2,641,0.94,2025-10-26T17:00:57.474ZZ
60601,Chicago,IL,8917 Canal St,B,D,C,5.1,14.8,19.9,386,0.94,2025-10-26T17:00:57.474ZZ
11211,Brooklyn,NY,976 Peachtree St NE,F,B,F,43.6,152.6,196.2,1228,0.88,2025-10-26T17:00:57.474ZZ
94102,San Francisco,CA,8899 Maple Ave,F,C,F,17.7,56.9,74.6,786,0.86,2025-10-26T17:00:57.474ZZ
20001,Washington,DC,8057 Elm St,B,B,C,5,17,22,468,0.82,2025-10-26T17:00:57.474ZZ
77002,Houston,TX,1040 Oak St,D,D,B,26.2,103.8,130,1102,0.81,2025-10-26T17:00:57.474ZZ
73102,Oklahoma City,OK,6502 Broadway,B,B,A,7.5,28,35.5,455,0.88,2025-10-26T17:00:57.474ZZ
45202,Cincinnati,OH,7979 Collins Ave,D,C,C,19.2,75.3,94.5,716,0.88,2025-10-26T17:00:57.474ZZ
64106,Kansas City,MO,7099 Mission St,D,C,B,25.9,103.6,129.5,699,0.95,2025-10-26T17:00:57.474ZZ
02115,Boston,MA,7917 Oak St,B,A,B,9.5,26.6,36.1,489,0.88,2025-10-26T17:00:57.474ZZ
10003,New York,NY,1053 Washington Ave,F,F,B,34.7,108.4,143.1,864,0.91,2025-10-26T17:00:57.474ZZ
90011,Los Angeles,CA,6603 Peachtree St NE,C,D,D,8.4,25.1,33.5,519,0.86,2025-10-26T17:00:57.474ZZ
85001,Phoenix,AZ,9466 Broadway,C,B,C,8,23.4,31.4,484,0.82,2025-10-26T17:00:57.474ZZ
75201,Dallas,TX,1870 Broadway,B,C,D,3.2,11.6,14.8,361,0.93,2025-10-26T17:00:57.474ZZ
73102,Oklahoma City,OK,8265 Pine St,B,D,D,6.5,20.2,26.7,456,0.92,2025-10-26T17:00:57.474ZZ
10003,New York,NY,8392 Elm St,C,B,B,5.1,19.1,24.2,417,0.82,2025-10-26T17:00:57.474ZZ
48201,Detroit,MI,1818 Elm St,A,D,B,2.8,7.5,10.3,339,0.87,2025-10-26T17:00:57.474ZZ
77002,Houston,TX,5253 Mission St,B,B,D,7.2,21.4,28.6,447,0.87,2025-10-26T17:00:57.474ZZ
90001,Los Angeles,CA,148 Elm St,F,F,D,27.6,100.6,128.2,1117,0.89,2025-10-26T17:00:57.474ZZ
90001,Los Angeles,CA,1428 Peachtree St NE,F,B,B,28.7,109.7,138.4,936,0.82,2025-10-26T17:00:57.474ZZ
10003,New York,NY,9230 Oak St,C,D,C,19.7,66.6,86.3,906,0.92,2025-10-26T17:00:57.474ZZ
77002,Houston,TX,2742 Fulton St,C,F,C,4,15.3,19.3,374,0.82,2025-10-26T17:00:57.474ZZ
20001,Washington,DC,8309 1st Ave,D,A,B,8,22.4,30.4,430,0.9,2025-10-26T17:00:57.474ZZ
64106,Kansas City,MO,7398 Peachtree St NE,C,A,D,5.8,20.1,25.9,394,0.93,2025-10-26T17:00:57.474ZZ
33101,Miami,FL,6322 Main St,D,D,D,14.3,57.1,71.4,526,0.87,2025-10-26T17:00:57.474ZZ
90001,Los Angeles,CA,6946 Oak St,A,D,B,4.2,15.3,19.5,454,0.9,2025-10-26T17:00:57.474ZZ
75201,Dallas,TX,3597 Broadway,B,B,D,9.7,26.9,36.6,537,0.81,2025-10-26T17:00:57.474ZZ
37203,Nashville,TN,4562 Canal St,C,F,C,12.4,38.9,51.3,490,0.86,2025-10-26T17:00:57.474ZZ
77002,Houston,TX,8660 1st Ave,D,F,D,33,91.1,124.1,1071,0.92,2025-10-26T17:00:57.474ZZ
96813,Honolulu,HI,6208 Washington Ave,B,B,F,9.3,30.5,39.8,609,0.88,2025-10-26T17:00:57.474ZZ
60629,Chicago,IL,5871 Mission St,B,A,F,7.3,20.7,28,500,0.84,2025-10-26T17:00:57.474ZZ
60601,Chicago,IL,4994 Washington Ave,D,B,B,23.9,89.9,113.8,1028,0.93,2025-10-26T17:00:57.474ZZ
48201,Detroit,MI,6532 Main St,C,D,D,8.7,23.4,32.1,446,0.94,2025-10-26T17:00:57.474ZZ
73301,Austin,TX,3527 Mission St,D,D,F,24.4,74.5,98.9,1033,0.9,2025-10-26T17:00:57.474ZZ
80202,Denver,CO,2796 Peachtree St NE,D,B,D,13.9,46.7,60.6,590,0.92,2025-10-26T17:00:57.474ZZ
33101,Miami,FL,4169 Maple Ave,C,C,C,11.8,40.2,52,651,0.86,2025-10-26T17:00:57.474ZZ
10001,New York,NY,6735 Canal St,D,A,D,29.1,87.9,117,812,0.9,2025-10-26T17:00:57.474ZZ
73102,Oklahoma City,OK,1086 Broadway,C,A,A,10.8,42.9,53.7,542,0.8,2025-10-26T17:00:57.474ZZ
02115,Boston,MA,3887 Market St,C,C,A,15.7,53.5,69.2,647,0.93,2025-10-26T17:00:57.474ZZ
33101,Miami,FL,2077 Fulton St,F,D,C,28.1,105.5,133.6,978,0.9,2025-10-26T17:00:57.474ZZ
72201,Little Rock,AR,6750 Canal St,D,B,B,11.2,37.3,48.5,565,0.86,2025-10-26T17:00:57.474ZZ
37203,Nashville,TN,3118 Broadway,C,D,C,11.9,38.9,50.8,668,0.91,2025-10-26T17:00:57.474ZZ
96813,Honolulu,HI,5838 Washington Ave,B,F,D,8.4,24.6,33,499,0.84,2025-10-26T17:00:57.474ZZ
94102,San Francisco,CA,3391 Cedar St,F,C,A,41.9,136.4,178.3,1377,0.87,2025-10-26T17:00:57.474ZZ
11211,Brooklyn,NY,9481 Peachtree St NE,C,B,A,7.7,30,37.7,503,0.89,2025-10-26T17:00:57.474ZZ
75201,Dallas,TX,7447 Elm St,C,D,D,16.2,50.2,66.4,657,0.8,2025-10-26T17:00:57.474ZZ
94102,San Francisco,CA,6131 Maple Ave,F,D,A,23.5,59.4,82.9,765,0.88,2025-10-26T17:00:57.474ZZ
10001,New York,NY,9779 Maple Ave,D,D,A,8.4,31.2,39.6,594,0.91,2025-10-26T17:00:57.474ZZ
60629,Chicago,IL,8626 Canal St,F,A,D,29.9,79.1,109,685,0.86,2025-10-26T17:00:57.474ZZ
94103,San Francisco,CA,1627 Oak St,C,C,D,4.3,15.1,19.4,436,0.94,2025-10-26T17:00:57.474ZZ
64106,Kansas City,MO,4241 Fulton St,C,A,D,16.5,58.2,74.7,891,0.85,2025-10-26T17:00:57.474ZZ
37203,Nashville,TN,3605 Oak St,F,A,A,45.7,117.7,163.4,901,0.9,2025-10-26T17:00:57.474ZZ
10001,New York,NY,3267 Elm St,C,A,C,11,28.7,39.7,463,0.89,2025-10-26T17:00:57.474ZZ
94103,San Francisco,CA,7569 Pine St,D,D,D,21.4,67.1,88.5,976,0.81,2025-10-26T17:00:57.474ZZ
19104,Philadelphia,PA,1295 Collins Ave,C,D,C,8.6,22.6,31.2,479,0.84,2025-10-26T17:00:57.474ZZ
73301,Austin,TX,1509 Lexington Ave,C,D,C,8.4,22.9,31.3,536,0.95,2025-10-26T17:00:57.474ZZ
10001,New York,NY,5436 Peachtree St NE,B,B,B,5.2,18.6,23.8,479,0.81,2025-10-26T17:00:57.474ZZ
96813,Honolulu,HI,5883 Peachtree St NE,B,B,B,2.4,6.1,8.5,349,0.89,2025-10-26T17:00:57.474ZZ
90011,Los Angeles,CA,5149 Market St,D,D,A,32.8,109.6,142.4,1310,0.9,2025-10-26T17:00:57.474ZZ
75201,Dallas,TX,6625 Peachtree St NE,C,D,B,9.9,27,36.9,552,0.93,2025-10-26T17:00:57.474ZZ
80202,Denver,CO,6540 Lexington Ave,C,B,F,13.1,34,47.1,510,0.88,2025-10-26T17:00:57.474ZZ
11211,Brooklyn,NY,2744 Maple Ave,D,C,D,30,77.6,107.6,938,0.83,2025-10-26T17:00:57.475ZZ
